Priorité;Feature;User story : En tant qu'utilisateur, je voudrais;User story détaillée;Notes;Points;Tâche;Points;Ressource;Temps estimé;Temps;Statut;Remarque
3;Afficher le MNT;Voir le MNT;Je veux voir le MNT;OpenGL (imposé);16;Étude de CGAL;2;;0,25;;EC;Un exemple qui marche / triangulation périodique ou Delaunay
3;Afficher le MNT;Voir le MNT;Je veux voir le MNT;;;Fonction de tri du fichier initial;3;;1;;;
3;Afficher le MNT;Voir le MNT;Je veux voir le MNT;;;Sous-échantillonage du MNT;2;A;0;;EC;
3;Afficher le MNT;Voir le MNT;Je veux voir le MNT;glScalef;;Échelle en z;1;;0,25;;;
3;Afficher le MNT;Voir le MNT;Je veux voir le MNT;;;Utiliser un vertex array;4;A;1,25;0,5;EC;
3;Afficher le MNT;Voir le MNT;Je veux voir le MNT;;;debug;0;A;;0,5;OK;
4;Interface graphique;Donner un nom au projet;Dessiner une icône;;3;Une icône ?;2;;0,75;;;
5;Lâcher la goutte;Paramétrer le point de départ;je clique sur le MNT;Récupérer les coordonnées du curseur;8;Bouton pour passer en mode sélection;0;C;0,5;1;OK;
6;Créer le chemin;Calculer le chemin suivi;;Stocker les coordonnées : tableau ou liste ?;5;Parcours récursif sur les voisins;3;I;1,5;1,5;OK;
7;Créer le chemin;Afficher le chemin;Affichage instantané et par défaut;;5;Afficher;5;I;1,5;0,5;OK;
8;Interface graphique;Documentation utilisateur;;;3;Documentation;2;;1;;;
8;Interface graphique;Documentation utilisateur;;;3;Relecture;1;;0,25;;;
9;Interface graphique;Avoir un programme d'installation;Dézipper;+ Documentation;1;Windows;0,5;;0,75;;;
9;Interface graphique;Avoir un programme d'installation;Dézipper;+ Documentation;1;Debian;0,5;;0,75;;;
10;Interface graphique;Dessiner la fenêtre principale du programme;Supprimer la 2D, espace de log;;5;Retravailler les menus;0,5;;0,5;;;
10;Interface graphique;Dessiner la fenêtre principale du programme;Supprimer la 2D, espace de log;;5;Faire une fonction qui affiche dedans;2;;1,5;;;
10;Interface graphique;Dessiner la fenêtre principale du programme;Supprimer la 2D, espace de log;;5;Appeler cette fonction dans le code;1,5;;0,5;;;Pas trop souvent ni trop peu
10;Interface graphique;Dessiner la fenêtre principale du programme;Supprimer la 2D, espace de log;;5;Révision de l'interface;1;;1;;;Réintégrer la fenêtre dans la mainwindow
23;Créer le chemin;Afficher le chemin;Personnaliser l'affichage;Couleur, épaisseur, … via un menu;;;;;;;;
